Position,Country/territory,"Share 2020","Share 2021","Count 2021","Change in Adjusted Share 2020-2021"
1,"United States of America (USA)",20626.9352072,19857.8002607,28214,-0.063
2,China,14259.8193841,16798.6587346,21462,0.146
3,Germany,4754.1494845,4847.895554,9451,-0.008
4,"United Kingdom (UK)",3884.0587741,3760.0921099,8140,-0.058
5,Japan,3271.625345,3193.1792858,5205,-0.05
6,France,2224.1108328,2155.6304914,4938,-0.057
7,Canada,1624.2920047,1597.8719341,3521,-0.043
8,"South Korea",1517.4671122,1594.1688963,2608,0.022
9,Switzerland,1443.9613514,1457.313327,3386,-0.018
10,Australia,1313.5926748,1299.8655658,3076,-0.037
11,India,1035.627507,1228.7301867,1911,0.154
12,Italy,1133.3544259,1179.4504198,2988,0.012
13,Spain,1239.0226881,1147.8619147,2861,-0.099
14,Netherlands,969.3389488,937.8338249,2440,-0.059
15,Sweden,700.1069159,688.1272363,2004,-0.044
16,Israel,644.6030181,673.0486244,1347,0.016
17,Singapore,635.0934984,619.5759828,1337,-0.051
18,Russia,534.0696229,554.0824133,1523,0.009
19,Denmark,408.2049683,436.9501625,1309,0.041
20,Belgium,432.5448732,429.2356505,1200,-0.035
21,Taiwan,420.6626858,418.0302276,1005,-0.033
22,Austria,378.4393402,388.6515832,1245,-0.001
23,Brazil,308.1655825,312.6110067,928,-0.013
24,Poland,271.1499208,288.590485,895,0.035
25,Finland,212.0173701,220.508015,757,0.012
26,"Czech Republic",222.3705438,212.6371723,756,-0.07
27,Norway,215.2630995,194.534975,750,-0.121
28,Portugal,151.006734,168.2899993,580,0.084
29,Chile,131.9902592,128.7998494,452,-0.051
30,"Saudi Arabia",138.4285492,126.1088423,450,-0.114
31,"New Zealand",133.5024892,114.4511195,388,-0.166
32,Iran,105.2407272,112.175831,271,0.037
33,Mexico,106.372406,109.2867653,429,0
34,Ireland,136.2473745,104.3664628,426,-0.255
35,Greece,89.0104581,101.9874468,402,0.115
36,Argentina,115.3347599,96.7898227,322,-0.184
37,Hungary,106.4578793,95.740234,409,-0.125
38,Turkey,71.5106665,92.0563649,387,0.252
39,"South Africa",85.0239782,89.3448877,430,0.022
40,Thailand,49.3361012,65.2549896,276,0.287
41,Slovenia,49.6674201,46.2355356,209,-0.094
42,Estonia,23.6312931,39.0811764,190,0.609
43,"United Arab Emirates",27.101677,29.1581721,116,0.047
44,Colombia,20.9973204,27.1432067,241,0.258
45,Pakistan,18.9455952,26.9201201,179,0.382
46,Vietnam,26.1722378,26.5442957,102,-0.013
47,Croatia,31.0446513,25.0610316,172,-0.215
48,Iceland,28.7586882,24.5305776,90,-0.17
49,Slovakia,18.9273548,23.3236654,161,0.199
50,Romania,21.0295284,22.3349665,211,0.033
51,Ukraine,22.7323949,19.8073999,210,-0.152
52,Egypt,15.9989817,18.6996123,202,0.137
53,Luxembourg,20.5495277,16.0247093,64,-0.241
