Position,Country/territory,"Share 2022","Count 2022"
1,"United States of America (USA)",21659.1072095,30754
2,China,20221.2349546,24735
3,Germany,4595.7821988,9487
4,"United Kingdom (UK)",3996.2260334,9123
5,Japan,2981.7256796,5082
6,France,2335.5684521,5443
7,Canada,1817.1200259,4242
8,"South Korea",1644.4497271,2693
9,Switzerland,1429.1589882,3570
10,Australia,1381.7047711,3533
11,India,1293.4643094,2031
12,Italy,1276.7847159,3451
13,Spain,1228.0883046,3355
14,Netherlands,1121.1338121,3024
15,Sweden,808.2672157,2390
16,Israel,664.2018526,1400
17,Denmark,578.5774872,1641
18,Singapore,553.1404754,1371
19,Taiwan,456.6562191,1044
20,Russia,453.472037,1271
21,Belgium,450.1010501,1506
22,Austria,433.2746828,1363
23,Brazil,331.1136154,1060
24,Poland,299.6266643,1049
25,Finland,270.6271861,948
26,Norway,246.0404469,861
27,"Czech Republic",221.9663167,787
28,Portugal,157.9287931,595
29,"New Zealand",152.7275726,529
30,"Saudi Arabia",136.151245,458
31,"South Africa",133.3137833,560
32,Iran,123.8078481,293
33,Ireland,115.5777568,532
34,Chile,108.2283817,456
35,Hungary,102.4144291,420
36,Turkey,99.1322424,469
37,Greece,98.9379711,516
38,Argentina,97.9081906,393
39,Mexico,87.2611205,395
40,Thailand,82.1046868,352
41,Slovenia,39.529088,193
42,Estonia,33.4691111,188
43,Pakistan,32.9475412,236
44,Luxembourg,32.8259834,106
45,"United Arab Emirates",32.768312,153
46,Vietnam,32.3817058,136
47,Iceland,30.1900258,124
48,Ukraine,29.2462838,213
49,Romania,26.2650145,228
50,Colombia,25.5607953,247
51,Croatia,24.8298423,174
52,Kenya,22.9332677,113
53,Cyprus,20.5633794,131
54,Egypt,17.466641,223
55,Indonesia,17.1491319,103
56,Slovakia,16.9874397,120
57,Serbia,15.9647671,136
58,Qatar,15.6026333,98
59,Uganda,15.1913934,91
60,Bangladesh,13.6062408,76
61,Bulgaria,13.3075207,132
62,Lithuania,12.9826708,112
63,Malaysia,12.8604553,154
64,Peru,11.9206,99
65,Ecuador,11.673316,102
66,Nigeria,9.2199043,67
67,Latvia,9.1384852,84
68,Tanzania,9.0220238,54
69,Uruguay,8.2403715,31
70,Ethiopia,7.7604511,52
71,Philippines,7.4660013,99
72,Ghana,7.4275844,54
73,Morocco,7.2611897,71
74,Kazakhstan,7.1596577,31
75,Malawi,6.8760449,40
77,Armenia,6.5071321,97
78,Belarus,5.86402,98
79,Uzbekistan,5.4690274,47
80,Georgia,5.1850565,109
81,Lebanon,5.1689569,30
81,"Democratic Republic of the Congo (DRC)",5.04787327342,30
82,Oman,4.9610085,19
83,Algeria,4.8261049,22
84,Panama,4.8197667,44
85,Jordan,4.7596016,28
86,"North Korea",4.5119048,6
87,Gambia,4.2970976,15
88,Nepal,4.2922189,34
89,"Costa Rica",4.2684226,31
90,Zambia,3.9354848,24
91,Malta,3.1673089,16
92,"Burkina Faso",3.089418,25
93,Venezuela,3.030166,22
94,Rwanda,3.0238063,27
95,"Papua New Guinea",2.9468689,11
96,Botswana,2.9432984,24
97,"Sri Lanka",2.6660715,73
98,Tunisia,2.597353,18
99,Mozambique,2.5174261,27
100,Zimbabwe,2.480385,18
101,Cambodia,2.4374876,14
102,Madagascar,2.2987196,16
103,Cameroon,2.2959018,25
104,Macedonia,2.2370704,24
105,Bolivia,2.1919178,17
106,Mali,2.1862939,15
107,Senegal,2.0355144,18
108,Nicaragua,2.0178064,9
109,Iraq,1.8885768,20
110,Kuwait,1.8857798,66
111,Mongolia,1.8463912,55
112,Benin,1.8117798,14
113,Niger,1.7671952,10
114,"Trinidad and Tobago",1.6769015,11
115,Gabon,1.5073376,15
116,Congo,1.5845051751378,11
116,"Ivory Coast",1.4445602,18
117,Myanmar,1.4415858,15
118,Liberia,1.2977099,6
119,"Palestinian territories",1.2374593,32
120,Haiti,1.1634882,12
121,"Faroe Islands",1.1600767,5
122,Guatemala,1.0887853,14
123,Bahamas,1.0848739,6
124,Greenland,1.0396227,11
125,Laos,1.0264925,10
126,"French Polynesia",1.0121753,4
127,Guinea-Bissau,1.0048694,5
128,"Cape Verde",0.9504681,5
129,"Central African Republic",0.9404636,4
130,Moldova,0.8766236,13
131,"Sierra Leone",0.8705761,7
132,"Bosnia and Herzegovina",0.808029,10
133,Azerbaijan,0.7516148,50
134,"Dominican Republic",0.7470036,7
135,Chad,0.7078518,5
136,Cuba,0.6909317,30
137,Tajikistan,0.6883117,2
138,Sudan,0.6712115,9
139,Namibia,0.5999697,10
140,Honduras,0.4717467,5
141,Kyrgyzstan,0.3177379,4
142,Monaco,0.3143675,6
143,Barbados,0.3003089,4
144,Bhutan,0.2707487,5
145,Paraguay,0.2656327,8
146,Kosovo,0.2646574,3
147,Belize,0.2578719,3
148,Bahrain,0.2425782,4
149,Togo,0.222306,7
150,Yemen,0.1914998,3
151,Angola,0.1802343,3
152,Jamaica,0.1633795,7
153,Lesotho,0.1615814,4
154,"El Salvador",0.1435626,2
155,Micronesia,0.1428571,1
156,Liechtenstein,0.1404537,5
157,Mauritius,0.1396602,6
158,Brunei,0.1297316,4
159,Aruba,0.125,1
160,Guinea,0.1167664,4
161,Grenada,0.1159655,3
162,Djibouti,0.1111111,1
163,Swaziland,0.1065891,2
164,"Saint Kitts and Nevis",0.0930897,2
165,"Vatican City State (Holy See)",0.0909091,1
166,Samoa,0.0852187,7
167,Palau,0.0833333,1
168,Montenegro,0.0767253,46
169,"Antigua and Barbuda",0.0673544,2
170,Martinique,0.0647858,2
171,Reunion,0.0608615,3
172,Tonga,0.0555556,1
173,Seychelles,0.0540084,4
174,Vanuatu,0.0489137,3
175,Albania,0.0358784,4
176,Somalia,0.034099,2
177,"East Timor",0.0333333,1
178,Afghanistan,0.027849,2
179,Syria,0.0274371,2
180,Fiji,0.025,1
181,Libya,0.0238095,1
182,Burundi,0.0232558,1
182,Eritrea,0.0232558,1
182,Kiribati,0.0232558,1
182,"Solomon Islands",0.0232558,1
183,"Cook Islands",0.0185185,1
184,Andorra,0.0175439,1
185,"Saint Lucia",0.0086422,2
186,Guyana,0.0048544,1
186,Dominica,0.0048544,1
186,"Saint Vincent and The Grenadines",0.0048544,1
