Search query: genome-wide association studies[tiab] OR genome-wide association study[tiab] OR genomewide association studies[tiab] OR genomewide association study[tiab] OR genome wide association studies[tiab] OR genome wide association study[tiab] OR GWAS[tiab] OR GWASs[tiab]
Year,Count
2026,28
2025,7402
2024,7954
2023,5852
2022,4995
2021,4845
2020,3984
2019,3686
2018,3315
2017,3120
2016,3065
2015,3030
2014,2861
2013,2750
2012,2455
2011,2142
2010,1656
2009,1135
2008,568
2007,214
2006,67
2005,43
2004,18
2003,12
2002,11
2001,10
2000,5
1999,2
1997,2
1992,1
1989,1
