Search query: meta analysis[tiab] OR meta-analysis[tiab]
Year,Count
2026,124
2025,37556
2024,37260
2023,34627
2022,35958
2021,33602
2020,27979
2019,22446
2018,19665
2017,17794
2016,16199
2015,15149
2014,13045
2013,10625
2012,8411
2011,6400
2010,4963
2009,4022
2008,3301
2007,2766
2006,2231
2005,1880
2004,1505
2003,1326
2002,1085
2001,1001
2000,957
1999,748
1998,645
1997,671
1996,485
1995,477
1994,390
1993,316
1992,288
1991,222
1990,154
1989,118
1988,80
1987,45
1986,26
1985,21
1984,15
1983,18
1982,11
1981,3
1980,6
1979,1
1977,1
