Location,SDI
Andorra,High SDI
Australia,High SDI
Austria,High SDI
Belgium,High SDI
Brunei,High SDI
Canada,High SDI
Croatia,High SDI
Cyprus,High SDI
Czech Republic,High SDI
Denmark,High SDI
Estonia,High SDI
Finland,High SDI
France,High SDI
Georgia,High SDI
Germany,High SDI
Greece,High SDI
Iceland,High SDI
Ireland,High SDI
Italy,High SDI
Japan,High SDI
Latvia,High SDI
Lithuania,High SDI
Luxembourg,High SDI
Malta,High SDI
Netherlands,High SDI
New Zealand,High SDI
Norway,High SDI
Poland,High SDI
Puerto Rico,High SDI
Singapore,High SDI
Slovakia,High SDI
Slovenia,High SDI
South Korea,High SDI
Sweden,High SDI
Switzerland,High SDI
Taiwan,High SDI
United Kingdom,High SDI
United States,High SDI
Virgin Islands, U.S.,High SDI
Antigua and Barbuda,High-middle SDI
Argentina,High-middle SDI
Armenia,High-middle SDI
Azerbaijan,High-middle SDI
Barbados,High-middle SDI
Belarus,High-middle SDI
Bermuda,High-middle SDI
Bulgaria,High-middle SDI
Chile,High-middle SDI
Cuba,High-middle SDI
Georgia,High-middle SDI
Greenland,High-middle SDI
Guam,High-middle SDI
Hungary,High-middle SDI
Iran,High-middle SDI
Israel,High-middle SDI
Kazakhstan,High-middle SDI
Kuwait,High-middle SDI
Lebanon,High-middle SDI
Libya,High-middle SDI
Macedonia,High-middle SDI
Malaysia,High-middle SDI
Mauritius,High-middle SDI
Montenegro,High-middle SDI
Northern Mariana Islands,High-middle SDI
Panama,High-middle SDI
Portugal,High-middle SDI
Qatar,High-middle SDI
Romania,High-middle SDI
Russia,High-middle SDI
Saudi Arabia,High-middle SDI
Serbia,High-middle SDI
Spain,High-middle SDI
The Bahamas,High-middle SDI
Trinidad and Tobago,High-middle SDI
Turkey,High-middle SDI
Turkmenistan,High-middle SDI
Ukraine,High-middle SDI
United Arab Emirates,High-middle SDI
Albania,Middle SDI
Algeria,Middle SDI
American Samoa,Middle SDI
Bahrain,Middle SDI
Bosnia and Herzegovina,Middle SDI
Botswana,Middle SDI
Brazil,Middle SDI
China,Middle SDI
Colombia,Middle SDI
Costa Rica,Middle SDI
Dominica,Middle SDI
Dominican Republic,Middle SDI
Ecuador,Middle SDI
Egypt,Middle SDI
El Salvador,Middle SDI
Equatorial Guinea,Middle SDI
Fiji,Middle SDI
Grenada,Middle SDI
Guyana,Middle SDI
Indonesia,Middle SDI
Jamaica,Middle SDI
Jordan,Middle SDI
Maldives,Middle SDI
Mexico,Middle SDI
Moldova,Middle SDI
Mongolia,Middle SDI
Oman,Middle SDI
Paraguay,Middle SDI
Peru,Middle SDI
Philippines,Middle SDI
Saint Lucia,Middle SDI
Saint Vincent and the Grenadines,Middle SDI
Seychelles,Middle SDI
South Africa,Middle SDI
Sri Lanka,Middle SDI
Suriname,Middle SDI
Thailand,Middle SDI
Tunisia,Middle SDI
Uruguay,Middle SDI
Uzbekistan,Middle SDI
Venezuela,Middle SDI
Vietnam,Middle SDI
Bangladesh,Low-middle SDI
Belize,Low-middle SDI
Bhutan,Low-middle SDI
Bolivia,Low-middle SDI
Cambodia,Low-middle SDI
Cameroon,Low-middle SDI
Cape Verde,Low-middle SDI
Congo,Low-middle SDI
Federated States of Micronesia,Low-middle SDI
Gabon,Low-middle SDI
Ghana,Low-middle SDI
Guatemala,Low-middle SDI
Honduras,Low-middle SDI
India,Low-middle SDI
Iraq,Low-middle SDI
Kenya,Low-middle SDI
Kyrgyzstan,Low-middle SDI
Laos,Low-middle SDI
Lesotho,Low-middle SDI
Marshall Islands,Low-middle SDI
Mauritania,Low-middle SDI
Morocco,Low-middle SDI
Myanmar,Low-middle SDI
Namibia,Low-middle SDI
Nepal,Low-middle SDI
Nicaragua,Low-middle SDI
Nigeria,Low-middle SDI
North Korea,Low-middle SDI
Pakistan,Low-middle SDI
Samoa,Low-middle SDI
Sudan,Low-middle SDI
Swaziland,Low-middle SDI
Syria,Low-middle SDI
Tajikistan,Low-middle SDI
Timor-Leste,Low-middle SDI
Tonga,Low-middle SDI
Vanuatu,Low-middle SDI
Zambia,Low-middle SDI
Zimbabwe,Low-middle SDI
Afghanistan,Low SDI
Angola,Low SDI
Benin,Low SDI
Burkina Faso,Low SDI
Burundi,Low SDI
Central African Republic,Low SDI
Chad,Low SDI
Comoros,Low SDI
Cote d'Ivoire,Low SDI
Democratic Republic of the Congo,Low SDI
Djibouti,Low SDI
Eritrea,Low SDI
Ethiopia,Low SDI
Guinea,Low SDI
Guinea-Bissau,Low SDI
Haiti,Low SDI
Kiribati,Low SDI
Liberia,Low SDI
Madagascar,Low SDI
Malawi,Low SDI
Mali,Low SDI
Mozambique,Low SDI
Niger,Low SDI
Palestine,Low SDI
Papua New Guinea,Low SDI
Rwanda,Low SDI
Sao Tome and Principe,Low SDI
Senegal,Low SDI
Sierra Leone,Low SDI
Solomon Islands,Low SDI
Somalia,Low SDI
South Sudan,Low SDI
Tanzania,Low SDI
The Gambia,Low SDI
Togo,Low SDI
Uganda,Low SDI
Yemen,Low SDI
Hong Kong,High SDI
